"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H14661","Khoa Mắt - Bệnh viện Đa khoa tỉnh Bình Thuận","0252 3822 733","Trường Trinh, Phú Tài, Phan Thiết, Bình Thuận","","","","","","K20","T05","H14661.jpg",
"H14662","Khoa Nam I - Bệnh viện Tâm thần tỉnh Thanh Hóa","0237 3954 430","217 Hải Thượng Lãn Ông, Quảng Thắng, Hậu Lộc, Thanh Hóa","","","","","","K19","T05","H14662.jpg",
"H14663","Khoa Răng Hàm Mặt - Bệnh viện C Thái nguyên","0280 3862 224","595 Trần Hưng Đạo, Phố Cò, Sông Công, Thái Nguyên","","","","","","K24","T05","H14663.jpg",
"H14664","Khoa Chẩn đoán hình ảnh - Bệnh viện C Thái nguyên","0280 3862 224","595 Trần Hưng Đạo, Phố Cò, Sông Công, Thái Nguyên","","","","","","K01","T05","H14664.jpg",
"H14665","Khoa Vi sinh - Bệnh viện C Thái nguyên","0280 3862 224","595 Trần Hưng Đạo, Phố Cò, Sông Công, Thái Nguyên","","","","","","","T05","H14665.jpg",
"H14666","Khoa Thận nhân tạo - Bệnh viện Đa khoa Lê Ngọc Tùng","0276 3797 999","500 Cách Mạng Tháng Tám Khu phố 3, 3, Tây Ninh, Tây Ninh","","","","","","K31","T05","H14666.jpg",
"H14667","Khoa Nội Tim mạch - Bệnh viện Đa khoa tỉnh Vĩnh Long","0270 3823 520","301 Trần phú, 4, Vĩnh Long, Vĩnh Long","","","","","","","T05","H14667.jpg",
"H14668","Khoa Nội tổng hợp - Bệnh viện Đa khoa quận Thốt Nốt","","Quốc lộ 91, Thốt Nốt, Thốt Nốt, Cần Thơ","","","","","DC000011","","T05","H14668.jpg",
"H14669","Khoa Phụ sản - Bệnh viện Đa khoa huyện Cẩm Mỹ","0251 3878 488","Đường huyện 10, ấp Suối Cả, Long Giao, Cẩm Mỹ, Đồng Nai","","","","","","K25","T05","H14669.jpg",
"H14670","Khoa Giải phẫu bệnh - Bệnh viện Đa khoa tỉnh Hà Nam","0226 3851 228","Trường Chinh, Minh Khai, Phủ Lý, Hà Nam","","","","","","K11","T05","H14670.jpg",
"H14671","Khoa Vô sinh - Hiếm muộn - Trung tâm Y khoa Nhân Sinh","0282 2424 949","178-180 Phan Huy Ích, 12, Gò Vấp, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 07:00 - 20:00","","","","","K12","T05","H14671.jpg",
"H14672","Khoa Chẩn đoán hình ảnh - Bệnh viện Đa khoa tỉnh Bình Thuận","0252 3822 733","Trường Trinh, Phú Tài, Phan Thiết, Bình Thuận","","","","","","K01","T05","H14672.jpg",
"H14673","Khoa Đông y - Bệnh viện Đa khoa tỉnh Bình Thuận","0252 3822 733","Trường Trinh, Phú Tài, Phan Thiết, Bình Thuận","","","","","","K40","T05","H14673.jpg",
"H14674","Khoa Dược - Bệnh viện Ung bướu Thành phố Cần Thơ","0292 3817 901","4 Châu Văn Liêm, An Lạc, Ninh Kiều, Cần Thơ","","","","","","K09","T05","H14674.jpg",
"H14675","Khoa Lâm sàng - Bệnh viện Mắt Hà Đông","0243 3825 059","2B Nguyễn Viết Xuân, Quang Trung, Hà Đông, Hà Nội","","","","","","K16","T05","",
"H14676","Khoa Xét nghiệm - Chẩn đoán hình ảnh - Bệnh viện Y học cổ truyền Đồng Tháp","","78 đường 30/4, 1, Cao Lãnh, Đồng Tháp","","","","","DC000012","K40, K01, K39","T05","",
"H14677","Khoa Bệnh lý máu và Ghép tủy - Bệnh viện Ung bướu Nghệ An","091 918 00 14","60 Tôn Thất Tùng, Hưng Dũng, Vinh, Nghệ An","","","","","","K32, K37, K15","T05","H14677.jpg",
"H14678","Khoa Nội - Bệnh viện Đa khoa khu vực Bắc Bình Thuận","0252 3860 891","6 Hài Thưỡng Lãn Ông, Chợ Lầu, Bắc Bình, Bình Thuận","","","","","","","T05","",
"H14679","Khoa Ngoại - cấp cứu - Bệnh viện đa khoa quận Hồng Bàng","0225 3838 407","34 Kỳ Đồng, Hoàng Văn Thụ, Hồng Bàng, Hải Phòng","","","","","","K14","T05","H14679.jpg",
"H14680","Khoa Khám bệnh - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K16","T05","H14680.jpg",
"H14681","Khoa Dinh dưỡng - Tiết chế - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K08","T05","H14681.jpg",
"H14682","Khoa Dược - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K09","T05","H14682.jpg",
"H14683","Khoa Xét nghiệm - Bệnh viện Lao và Bệnh phổi Bình Định","0256 3848 687","Tổ 2, khu vực 5, Nhơn Phú, Quy Nhơn, Bình Định","","","","","","K13, K39","T05","H14683.jpg",
"H14684","Khoa Cấp cứu - Hồi sức tích cực - Chống độc - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K14","T05","H14684.jpg",
"H14685","Khoa Điều trị theo yêu cầu - Bệnh viện Đa khoa tỉnh Hà Giang","0219 3886 411","11 tổ 10, Minh Khai, Hà Giang, Hà Giang","Luôn mở cửa","","","","","K16, K04","T05","H14685.jpg",
"H14686","Khoa Dinh dưỡng - Bệnh viện Phục hồi chức năng Hà Tĩnh","0239 3856 657","223 Nguyễn Công Trứ, Thạch Quý, Hà Tĩnh, Hà Tĩnh","","","","","","K38, K08","T05","H14686.jpg",
"H14687","Khoa Dinh dưỡng - Bệnh viện Đa khoa huyện Kỳ Anh","0239 3865 544","Khu phố Hưng Hoà, Sông Trí, Kỳ Anh, Hà Tĩnh","","","","","","K08","T05","H14687.jpg",
